"loja_id","vendas_pos","vendas_pre","tratamento","renda_per_capita","penetracao_internet","n_concorrentes","potencial_crescimento","trend_pre","ite","quartil_renda","quartil_internet"
1,90599.2197875529,85635.3759843073,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,-484.913801916185,6121.04660410953,"Q2","Q2"
2,90093.8692123717,79174.10218329,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,63.0488055090954,6122.87210936444,"Q1","Q4"
3,101430.965081061,86866.7136396584,1,2954.39570429941,0.898726739711128,5,0.480851868325985,-5.56616300203382,6116.21241823359,"Q2","Q4"
4,89494.5879038442,78309.7217587816,1,1614.29835135006,0.866340699908324,2,-0.203139671005912,-709.461729483046,6089.85163022827,"Q1","Q4"
5,102327.392187584,89504.3935876083,1,2894.01329181974,0.821126049698796,3,0.313998481750749,122.955951467128,6099.3055058062,"Q2","Q4"
6,97904.3799553657,93351.0353745691,0,3609.01928294355,0.563224334153347,2,-0.243814267414699,-350.933276484592,6319.52886867041,"Q4","Q1"
7,98950.0455574415,87400.077922807,1,2957.35974282146,0.702571708522737,3,0.0481380819328178,-122.539645807597,5976.92669810189,"Q2","Q2"
8,81095.1812554251,72846.6731341217,1,2426.19811556557,0.511164095089771,5,-0.975644319056023,-695.217089730363,6447.51608860647,"Q1","Q1"
9,81792.8483012152,79033.5829695436,0,1919.81415703076,0.671124600293115,1,-0.834356122428723,-719.724489693377,6150.49471532862,"Q1","Q2"
10,89018.2389131835,85435.771551135,0,2187.36017374456,0.72877209604485,0,-0.44065135846026,-347.341336107994,5992.64946190484,"Q1","Q3"
11,109393.680310256,98679.5633006528,1,4249.75810934484,0.519394770707004,2,-0.402310224793185,-36.5532927630034,6478.88850716715,"Q4","Q1"
12,87107.4672573217,82447.4323299778,0,2191.89539940121,0.699925008707214,1,-0.56183409323303,-844.17489607938,6065.34746297503,"Q1","Q2"
13,100441.225779149,87714.8224104378,1,2921.12597784705,0.740834296343382,3,0.200385037045553,-300.303781974937,6018.02697298981,"Q2","Q3"
14,84744.9081011414,80575.2939260575,0,2168.60087761596,0.632142631860916,1,-0.738436055015574,-525.825056699762,6116.09596226491,"Q1","Q2"
15,103055.407530965,92407.7820788987,1,3750.43888239192,0.692832953343168,5,0.0696162716383958,-93.3919952273017,6254.91089385008,"Q4","Q2"
16,90533.5410943395,85419.7553634335,0,2452.48360656847,0.802710154943634,2,-0.211253307166196,-221.28992679196,6025.74723482587,"Q1","Q3"
17,86810.4299208854,76492.1033996953,1,1467.29970891151,0.770546392211691,1,-0.314767461632149,-863.62297051647,6018.95118493243,"Q1","Q3"
18,117934.523154943,101851.674966553,1,3748.21415956249,0.93242495493032,3,1.31020466570181,263.560711299623,6396.15497997622,"Q4","Q4"
19,108131.094976474,94187.4831533697,1,3507.78827811661,0.897619409521576,5,0.797990787360777,-326.870423477513,6298.25871633714,"Q3","Q4"
20,88730.8623677458,82883.1434196956,0,2743.72907256993,0.652049343753606,3,-0.348625223151957,-305.437495263107,6070.18712752463,"Q2","Q2"
21,83647.892776373,73626.507548207,1,2515.50811791115,0.54991719837999,6,-0.574017296291137,-368.912173375107,6253.77198782367,"Q2","Q1"
22,96138.4294924836,84115.7566700746,1,1988.65991485594,0.885024891945068,1,0.0651812132799671,-409.811776791144,6046.18173823095,"Q1","Q4"
23,114254.12675703,98766.0394877076,1,3816.60188696789,0.929160758003127,4,0.865915701810088,469.368932421154,6350.23063926917,"Q4","Q4"
24,92995.039408957,88899.5199986482,0,3377.09232304702,0.610390746768098,3,-0.476925172348887,-108.706265941447,6154.56346083423,"Q3","Q1"
25,98249.1225400538,89366.7329569942,1,3063.94173043656,0.514904539391864,1,-0.454654254383446,-386.311676375151,6268.82938672976,"Q2","Q1"
