"loja_id","periodo","vendas","tratamento","pos","renda_per_capita","penetracao_internet","n_concorrentes","potencial_crescimento","efeito_verdadeiro"
1,1,84092.2735849524,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,2,91885.9074768214,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,3,87215.9085472947,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,4,87925.4426147962,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,5,88033.5186554242,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,6,86577.29055736,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,7,85923.5514709681,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,8,83093.0602970994,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,9,80474.9055740777,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,10,82991.7967410203,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,11,83960.003911942,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,12,85450.8523799311,0,0,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,13,89413.887086747,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,14,93016.6352131456,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,15,92176.7903559278,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,16,92054.0268734889,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,17,91596.3793694911,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,18,91118.8508754872,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,19,88271.2713267551,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,20,88421.987690663,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,21,87259.4452136566,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,22,87271.4551486111,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,23,93655.631980746,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
1,24,92934.2763159157,0,1,2963.98710318043,0.667443169618491,3,-0.418292761410961,0
2,1,75592.225947217,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,2,83123.2175213386,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,3,81927.2923850019,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,4,79191.0447781239,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,5,78876.7554767531,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,6,77093.5459517141,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,7,76653.3063622546,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,8,76882.3764917443,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,9,80396.7655572627,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,10,78877.5518412277,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,11,78414.1124065052,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,12,83061.0314803364,1,0,1896.75544053348,0.831333385431208,3,0.0824197630455738,0
2,13,85829.7726140303,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,14,89383.6283549692,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,15,88906.5006893842,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,16,95568.8865731299,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,17,94343.5445627518,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,18,90006.5761875581,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,19,88965.7771630149,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,20,87780.9716449663,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,21,88045.4463121076,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,22,89241.0204814434,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,23,89046.1965371765,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
2,24,94008.109427929,1,1,1896.75544053348,0.831333385431208,3,0.0824197630455738,5611.04449112916
3,1,83737.7429945956,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,2,88356.8150937869,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,3,89751.1096007376,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,4,88961.0880124041,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,5,89914.0926893814,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,6,86704.0979666581,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,7,82474.5103611271,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,8,84249.2657388115,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,9,84648.8913153886,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,10,84749.4684168073,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,11,87428.5849761695,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,12,91424.8965100326,1,0,2954.39570429941,0.898726739711128,5,0.480851868325985,0
3,13,99511.0213911038,1,1,2954.39570429941,0.898726739711128,5,0.480851868325985,6274.65133157196
3,14,105888.96727384,1,1,2954.39570429941,0.898726739711128,5,0.480851868325985,6274.65133157196
3,15,100884.747057479,1,1,2954.39570429941,0.898726739711128,5,0.480851868325985,6274.65133157196
3,16,104007.531564213,1,1,2954.39570429941,0.898726739711128,5,0.480851868325985,6274.65133157196
